"COMPETÊNCIA",UF,"CÓDIGO DO MUNICÍPIO","MUNICÍPIO",CNES,"NOME FANTASIA","TIPO NOVO DO ESTABELECIMENTO","TIPO DO ESTABELECIMENTO","SUBTIPO DO ESTABELECIMENTO","GESTÃO","CONVÊNIO SUS","CATEGORIA NATUREZA JURÍDICA","SERVIÇO","SERVIÇO CLASSIFICAÇÃO","SERVIÇO - AMBULATORIAL SUS","SERVIÇO - AMBULATORIAL NÃO SUS","SERVIÇO - HOSPITALAR SUS","SERVIÇO - HOSPITALAR NÃO SUS","SERVIÇO TERCEIRO","STATUS DO ESTABELECIMENTO"
"2026/02",RO,110037,"ALTO ALEGRE DOS PARECIS",2806681,"HOSPITAL DE PEQUENO PORTE ENFERMEIRA ANA NERI","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",MA,210300,CAXIAS,2453665,"MATERNIDADE CARMOSINA COUTINHO","006 HOSPITAL","07 HOSPITAL ESPECIALIZADO","005 MATERNIDADE",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",MG,317130,VICOSA,2099454,"HOSPITAL SAO SEBASTIAO","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"SEM FINS LUCRATIVOS","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI",Sim,Sim,Sim,Sim,"NAO INFORMADO",ATIVO
"2026/02",GO,522010,"SAO LUIS DE MONTES BELOS",2440180,"UBS CANTINHO DA ESPERANCA SAO LUIS DE MONTES BELOS","001 UNIDADE BASICA DE SAUDE","02 CENTRO DE SAUDE/UNIDADE BASICA","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",DF,530010,BRASILIA,0010502,HRS,"006 HOSPITAL","05 HOSPITAL GERAL","N/A",ESTADUAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",AM,130270,MANICORE,2014688,"UNIDADE HOSPITALAR HAMILTON CIDADE","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",RJ,330455,"RIO DE JANEIRO",7041624,"SMS MATERNIDADE DA MULHER MARISKA RIBEIRO AP 51","006 HOSPITAL","07 HOSPITAL ESPECIALIZADO","005 MATERNIDADE",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","006 ATENCAO A INTERRUPCAO DE GRAVIDEZ NOS CASOS PREVISTOS EM LEI",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",PA,150613,REDENCAO,2504901,"HOSPITAL MUNICIPAL DR PEDRO PAULO BARCAUI","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","008 COLETA DE VESTIGIOS DE VIOLENCIA SEXUAL",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
"2026/02",PB,250370,CAJAZEIRAS,2613476,"HOSPITAL REGIONAL DE CAJAZEIRAS","006 HOSPITAL","05 HOSPITAL GERAL","N/A",ESTADUAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","001 ATENCAO INTEGRAL AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não","Não","Não","NAO INFORMADO",ATIVO
"2026/02",MA,210820,PEDREIRAS,2452952,"HOSPITAL MUNICIPAL GERAL E MATERNIDADE DE PEDREIRAS","006 HOSPITAL","05 HOSPITAL GERAL","N/A",MUNICIPAL,SIM,"PÚBLICO","165 ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL","007 ATENC AMBULATORIAL A PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL",Sim,"Não",Sim,"Não","NAO INFORMADO",ATIVO
